tm,ma,mx,my,mz,ta,aa,ax,ay,az
246746.183452125,679.049970164564,150.8717193603516,-24.09756469726562,-661.6387939453125,246746.154172125,0.9468801424406962,-0.0774993896484375,-0.3709564208984375,-0.86773681640625
246746.153910125,677.8463781944246,151.7448120117188,-26.01838684082031,-660.1304931640625,246746.124565125,1.014316767830834,-0.021575927734375,-0.3293304443359375,-0.9591217041015625
246746.124358125,678.3954330063539,151.91943359375,-26.54225158691406,-660.63330078125,246746.094961125,1.07819044024261,-0.0517120361328125,-0.3532562255859375,-1.017364501953125
246746.094821125,680.0275041585496,151.91943359375,-26.54225158691406,-662.3091430664062,246746.065358125,1.151012417462013,-0.145172119140625,-0.3552703857421875,-1.08514404296875
246746.065296125,679.4992700092929,149.4747619628906,-26.89149475097656,-662.3091430664062,246746.035752125,1.154773206931263,-0.1396026611328125,-0.27178955078125,-1.113616943359375
246746.035736125,677.6286897127202,147.3793182373047,-24.09756469726562,-660.9684448242188,246746.006150125,1.225593614459216,-0.01513671875,-0.065093994140625,-1.223770141601562
246746.006189125,676.4403454365457,145.8077392578125,-23.22447204589844,-660.1304931640625,246745.976545125,1.020447752978519,-0.16204833984375,-0.253570556640625,-0.975067138671875
246745.976650125,677.9360926751159,146.5062103271484,-24.27218627929688,-661.47119140625,246745.946939125,1.01668393003393,-0.1726226806640625,-0.3863067626953125,-0.9244537353515625
246745.947105125,677.9870067555229,146.8554534912109,-23.57371520996094,-661.47119140625,246745.917334125,0.9051070487348625,-0.226318359375,-0.3302001953125,-0.811767578125
246745.917554125,677.5604909408177,146.5062103271484,-22.87522888183594,-661.1360473632812,246745.887726125,0.9364013500310593,-0.1913604736328125,-0.2799835205078125,-0.872833251953125
246745.888015125,677.1969504156804,144.760009765625,-23.22447204589844,-661.1360473632812,246745.858120125,1.03072779916785,-0.1020660400390625,-0.2576141357421875,-0.9927825927734375
246745.858469125,674.671785015406,145.45849609375,-21.478271484375,-658.4546508789062,246745.828523125,1.057899389235946,-0.17681884765625,-0.3223419189453125,-0.9919586181640625
246745.828918125,676.474835810295,143.0138092041016,-22.52598571777344,-660.8009033203125,246745.798906125,1.090390014217107,-0.237640380859375,-0.4691162109375,-0.9552001953125
246745.799373125,676.8613030496248,142.4899597167969,-22.70060729980469,-661.3036499023438,246745.769299125,1.077774154245928,-0.2103729248046875,-0.36724853515625,-0.9911956787109375
246745.769829125,677.3951323128917,142.6645812988281,-22.87522888183594,-661.806396484375,246745.739693125,1.054733840158355,-0.1369171142578125,-0.40179443359375,-0.965545654296875
246745.740277125,677.2296901854892,141.4422302246094,-20.60517883300781,-661.9739990234375,246745.710083125,0.9500122015169109,-0.1538543701171875,-0.3986968994140625,-0.8484649658203125
246745.710723125,676.445821984233,142.4899597167969,-19.90669250488281,-660.9684448242188,246745.680475125,0.8883258924216324,-0.2195892333984375,-0.3521728515625,-0.7854156494140625
246745.681167125,677.1656933662589,142.4899597167969,-22.00213623046875,-661.6387939453125,246745.650868125,0.9419089006491652,-0.1476898193359375,-0.288848876953125,-0.88427734375
246745.651613125,676.1143203735227,141.6168518066406,-20.43055725097656,-660.8009033203125,246745.621260125,0.9860916201151115,-0.0827178955078125,-0.318634033203125,-0.9295196533203125
246745.622279125,675.4358157954561,141.9660949707031,-16.93815612792969,-660.1304931640625,246745.591654125,1.015073183198939,-0.0854339599609375,-0.2621917724609375,-0.976898193359375
246745.592722125,675.4675925385852,141.7914733886719,-12.57264709472656,-660.298095703125,246745.562045125,0.9989926183352548,-0.0455322265625,-0.226837158203125,-0.971832275390625
246745.563183125,673.8780266273901,140.3945159912109,-13.27113342285156,-658.9573974609375,246745.532441125,0.8245527429166776,-0.10479736328125,-0.112518310546875,-0.810089111328125
246745.533634125,672.9726510022873,139.3467864990234,-11.52493286132812,-658.2870483398438,246745.502833125,1.190442048236303,-0.1290740966796875,-0.0519866943359375,-1.182281494140625
246745.504083125,673.9978328766655,141.0929870605469,-11.87417602539062,-658.9573974609375,246745.473227125,1.21906686934893,-0.1449432373046875,-0.3220367431640625,-1.166793823242188
246745.474533125,675.2550304723327,140.7437591552734,-12.92189025878906,-660.298095703125,246745.443622125,0.8811970305978305,-0.2309112548828125,-0.25787353515625,-0.81036376953125
246745.444980125,675.321915265779,138.1244506835938,-17.98587036132812,-660.8009033203125,246745.414014125,0.9650095590116596,-0.2227630615234375,-0.5009307861328125,-0.794158935546875
246745.415431125,674.0923859841027,137.2513580322266,-21.30364990234375,-659.6277465820312,246745.384406125,0.8020134072959164,-0.133697509765625,-0.1925811767578125,-0.7669830322265625
246745.385878125,673.8875321713958,136.5528717041016,-19.20820617675781,-659.6277465820312,246745.354797125,1.009641896508126,-0.1614532470703125,-0.1859893798828125,-0.9791412353515625
246745.356328125,673.6125367432523,136.0290069580078,-19.03358459472656,-659.4601440429688,246745.325189125,0.8755038467997872,-0.3104248046875,-0.18310546875,-0.797882080078125
246745.326774125,673.770100134106,133.5843353271484,-18.68435668945312,-660.1304931640625,246745.295581125,1.03707650740046,-0.124755859375,-0.3224334716796875,-0.977752685546875
246745.297221125,675.1163889691214,134.9812927246094,-21.478271484375,-661.1360473632812,246745.265974125,1.157688054583705,-0.101837158203125,-0.488677978515625,-1.044540405273438
246745.267674125,675.8637139875651,137.9498291015625,-20.95440673828125,-661.3036499023438,246745.236367125,0.9909166728441977,-0.154541015625,-0.3210601806640625,-0.9246368408203125
246745.238122125,676.4932225175311,137.6005859375,-22.35136413574219,-661.9739990234375,246745.206757125,0.828217779132142,-0.051300048828125,-0.1500396728515625,-0.812896728515625
246745.208570125,675.6480508369563,137.7752075195312,-20.43055725097656,-661.1360473632812,246745.177150125,0.8060530057489327,-0.1399078369140625,-0.1791839599609375,-0.7733306884765625
246745.179015125,675.5792453319481,136.9021148681641,-18.50973510742188,-661.3036499023438,246745.147539125,1.167862284872973,-0.00048828125,-0.075714111328125,-1.1654052734375
246745.149460125,674.4692615629059,139.3467864990234,-19.55744934082031,-659.6277465820312,246745.117933125,1.196418478933184,0.1413726806640625,-0.264434814453125,-1.158233642578125
246745.119909125,676.7921500479547,141.9660949707031,-18.68435668945312,-661.47119140625,246745.088316125,0.870727746162085,0.1683349609375,-0.3061065673828125,-0.797576904296875
246745.090355125,675.3123763143443,140.3945159912109,-18.50973510742188,-660.298095703125,246745.058716125,0.87654384028579,0.2487945556640625,-0.3182220458984375,-0.777923583984375
246745.060819125,676.0075307126664,140.3945159912109,-19.90669250488281,-660.9684448242188,246745.029114125,1.041737562104006,0.2601776123046875,-0.147003173828125,-0.997955322265625
246745.031264125,676.3082906520611,144.4107818603516,-17.98587036132812,-660.4656982421875,246744.999510125,1.151334217519987,0.2639312744140625,-0.1364593505859375,-1.112335205078125
246745.001718125,676.6275034202629,145.2838745117188,-16.76353454589844,-660.63330078125,246744.969907125,1.115788642926986,0.2649688720703125,-0.1190185546875,-1.077316284179688
246744.972167125,675.7878504141496,143.7122955322266,-16.23966979980469,-660.1304931640625,246744.940306125,1.036912351933978,0.2684783935546875,-0.0954437255859375,-0.9969940185546875
246744.942620125,674.3214731676126,143.0138092041016,-15.89042663574219,-658.789794921875,246744.910696125,1.088759586979286,0.272064208984375,-0.1054229736328125,-1.048934936523438
